DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
1,12,6,7,3,2,126,73,0,2,1,2,0,4,10,2,9,5,2.0,4,3,26,44,6,24.0,1,0,2,5
1,12,6,7,3,2,126,73,0,2,1,2,0,4,10,2,9,5,2.0,4,3,26,9,3,40.0,2,2,2,5
1,24,6,7,3,2,93,39,0,2,0,2,2,4,10,2,9,6,2.0,1,1,26,31,3,37.0,1,2,2,16
1,24,6,7,3,2,93,39,0,2,0,2,2,4,10,2,9,6,2.0,4,4,26,164,1,37.0,1,2,2,16
1,36,4,7,3,2,93,27,0,3,0,2,0,4,10,2,8,5,2.0,4,0,14,15,3,29.0,1,1,2,9
1,36,4,7,3,2,93,27,0,3,0,2,0,4,10,2,8,5,2.0,1,0,26,37,1,28.0,2,1,2,9
1,48,2,7,3,2,93,27,2,1,1,1,0,4,10,2,8,5,3.0,4,3,26,46,6,35.0,1,1,2,9
1,48,2,7,3,2,93,27,2,1,1,1,0,4,10,2,8,5,3.0,4,6,9,136,3,31.0,1,1,2,9
1,48,2,7,3,2,93,27,2,1,1,1,0,4,10,2,8,5,3.0,4,3,26,44,6,59.0,1,0,2,9
1,60,1,7,3,2,243,45,0,1,0,2,2,4,10,2,9,5,2.0,4,3,26,44,6,59.0,1,0,2,9
1,60,1,7,3,2,243,45,0,1,0,2,2,4,10,2,9,5,2.0,1,0,26,31,3,35.0,1,0,2,5
1,60,1,7,3,2,243,45,0,1,0,2,2,4,10,2,9,5,2.0,4,3,26,158,3,57.0,1,1,2,5
1,72,4,7,3,2,438,273,0,1,1,2,0,9,9,7,0,3,2.0,4,3,26,158,3,57.0,1,1,2,5
1,72,4,7,3,2,438,273,0,1,1,2,0,9,9,7,0,3,2.0,0,3,26,44,7,50.0,1,0,2,10
1,72,4,7,3,2,438,273,0,1,1,2,0,9,9,7,0,3,2.0,0,3,26,46,7,36.0,1,0,2,10
1,84,7,7,3,2,36,172,3,3,0,2,0,4,9,1,8,3,2.0,1,3,26,31,5,19.0,2,2,2,9
1,84,7,7,3,2,36,172,3,3,0,2,0,4,9,1,8,3,2.0,0,1,11,15,5,56.0,1,0,2,9
1,84,7,7,3,2,36,172,3,3,0,2,0,4,9,1,8,3,2.0,0,1,11,15,5,56.0,1,0,2,9
1,96,3,7,3,2,579,323,0,3,0,2,1,4,0,1,0,3,2.0,1,1,26,164,5,25.0,1,1,2,10
1,96,3,7,3,2,579,323,0,3,0,2,1,4,0,1,0,3,2.0,0,3,26,46,7,43.0,1,0,2,10
1,96,3,7,3,2,579,323,0,3,0,2,1,4,0,1,0,3,2.0,0,3,26,46,7,43.0,1,0,2,10
1,108,5,7,3,2,346,241,0,3,0,2,0,4,9,1,8,3,2.0,0,3,26,46,7,25.0,1,0,2,9
1,108,5,7,3,2,346,241,0,3,0,2,0,4,9,1,8,3,2.0,0,4,26,15,5,49.0,1,0,2,9
1,108,5,7,3,2,346,241,0,3,0,2,0,4,9,1,8,3,2.0,0,4,26,15,5,49.0,1,0,2,9
1,120,6,7,3,2,314,110,0,3,0,1,0,4,9,1,3,3,2.0,0,4,26,15,5,49.0,1,0,2,9
1,120,6,7,3,2,314,110,0,3,0,1,0,4,9,1,3,3,2.0,0,3,26,110,5,29.0,1,2,2,10
1,120,6,7,3,2,314,110,0,3,0,1,0,4,9,1,3,3,2.0,1,4,6,110,5,35.0,1,2,2,10
1,132,3,7,3,2,46,142,0,3,1,2,0,3,9,1,0,3,2.0,1,4,6,110,5,35.0,1,2,2,10
1,132,3,7,3,2,46,142,0,3,1,2,0,3,9,1,0,3,2.0,0,3,26,37,7,50.0,1,0,2,16
1,132,3,7,3,2,46,142,0,3,1,2,0,3,9,1,0,3,2.0,3,4,26,110,5,26.0,1,3,2,16
1,0,5,7,3,2,51,27,0,3,1,2,2,4,10,2,9,5,2.0,1,4,26,110,3,23.0,1,2,1,16
1,0,5,7,3,2,51,27,0,3,1,2,2,4,10,2,9,5,2.0,4,2,18,110,3,26.0,1,2,2,16
1,12,6,7,3,2,51,21,0,3,0,2,1,4,0,7,9,5,1.0,1,4,26,28,3,75.0,1,2,2,5
1,24,6,7,3,2,62,21,0,3,1,2,2,4,10,2,5,5,2.0,4,2,26,123,3,34.0,1,2,2,5
1,24,6,7,3,2,62,21,0,3,1,2,2,4,10,2,5,5,2.0,4,0,26,46,6,34.0,1,2,2,5
1,36,4,7,3,2,93,21,0,3,0,2,0,4,10,2,5,5,2.0,1,3,14,31,3,34.0,1,0,2,5
1,36,4,7,3,2,93,21,0,3,0,2,0,4,10,2,5,5,2.0,1,4,26,123,3,47.0,1,1,2,5
1,48,2,7,3,2,233,156,0,3,1,2,0,4,10,2,8,5,3.0,1,4,26,31,3,26.0,1,2,2,9
1,48,2,7,3,2,233,156,0,3,1,2,0,4,10,2,8,5,3.0,4,3,26,46,6,29.0,1,0,2,9
1,48,2,7,3,2,233,156,0,3,1,2,0,4,10,2,8,5,3.0,4,3,26,44,6,36.0,1,0,2,9
1,60,1,7,3,2,46,101,0,3,1,2,0,4,10,2,5,5,2.0,4,3,26,44,6,36.0,1,0,2,9
1,60,1,7,3,2,46,101,0,3,1,2,0,4,10,2,5,5,2.0,4,3,26,46,6,23.0,1,0,2,5
1,60,1,7,3,2,46,101,0,3,1,2,0,4,10,2,5,5,2.0,1,1,26,131,3,33.0,1,2,2,5
1,72,4,7,3,2,636,101,0,3,0,2,0,3,9,1,0,3,2.0,1,1,26,131,3,33.0,1,2,2,5
1,72,4,7,3,2,636,101,0,3,0,2,0,3,9,1,0,3,2.0,0,3,26,46,7,31.0,1,0,2,4
